drug_name,mode-of-action,target_proteins,reference
ABT737,BCL2i,"BAD,BAK1,BAX,BBC3,BCL2,BCL2L1,BCL2L11,BCL2L2,BID,MCL1,MDM2",CHEMBL
ABT888_Veliparib,PARPi,"CYP2D6,PARP1,PARP2,PARP3,PARP4,TNKS,TNKS2",CHEMBL
AG014699_Rucaparib,PARPi,"AKT1,AKT2,AKT3,AURKA,AURKB,CDK1,CDK2,CDK5,CHEK1,CHEK2,CSNK1D,CSNK2A1,EPHA2,FGFR1,FLG,FLT4,GSK3B,INSR,IRAK4,KDR,MAPK1,MARK3,NEK2,PAK1,PAK4,PARP1,PARP2,PARP3,PARP4,PIM1,PLK1,PRKAA1,PRKCD,PRKCG,PRKCZ,PRKD2,ROCK1,ROCK2,RPS6KA3,RPS6KB1,SGK2,STK3,TNKS,TNKS2,YES1",CHEMBL
AZD4547,FGFRi,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2B,ACVRL1,AKT1,AKT2,AKT3,ALK,ARAF,ATR,AURKA,AURKB,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,CAMK2G,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK9,CHD4,CHEK1,CIT,CLK2,CLK3,CSF1R,CSNK1D,CSNK1E,CSNK1G3,DCK,DDR1,DDR2,DDX3X,DDX6,EGFR,EIF2AK1,EPHA2,EPHA4,EPHA5,EPHA7,EPHB6,ERCC2,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,FLT3,GSK3B,IGF1R,IKBKE,INSR,IRAK1,IRAK4,JAK1,JAK3,KDR,LATS1,LCK,LYN,MAP2K1,MAP2K2,MAP3K1,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MCM4,MET,NAT10,NEK2,NLK,NTRK1,NTRK2,NTRK3,PAK4,PDGFRB,PIM1,PIM2,PKMYT1,PLK1,PLK4,PRKAA1,PRKAG2,PRKAR2A,PRKCD,PRKCI,PRKCQ,PRKCZ,PRKD2,PTK2B,PTK6,RAN,RET,RIPK1,ROCK1,ROCK2,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SMC1A,SMC2,SRC,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TNIK,TOP2A,TOP2B,TYK2,WEE1,YES1",CHEMBL
AZD6738,ATRi,"ATM,ATR,CYP2D6,MTOR,PIK3C2G,PIK3CA,PRKDC",CHEMBL
Arabinofuranoside_Cytarabine,Cytostatic_Antimetabolite,"ABCB1,ABCB11,ADORA2A,AGTR2,APEX1,ATAD5,BDKRB2,BLM,CBFB,CYP2D6,DCK,DNMT1,EGFR,ELANE,ERBB2,ESR1,ESR2,FLT1,HMGCR,KMT2A,LCK,LMNA,MAPK1,MAPK14,MAPK3,MDM2,MEN1,MTOR,NCOA1,NCOA3,NFE2L2,NFKB1,OPRK1,PIN1,POLA1,POLB,POLD1,POLE,POLI,PTPRC,RRM1,RUNX1,SIRT1,SRC,TDP1,TK1,USP1",CHEMBL
Azacytidine,Cytostatic_Antimetabolite,"ADORA2A,AGTR2,APEX1,AR,ATAD5,BDKRB2,BLM,CYP2D6,DNMT1,DNMT3A,EGFR,ELANE,ERBB2,ESR1,ESR2,FLT1,FLT3,HMGCR,IDH1,KAT2A,LCK,LMNA,MAPK1,MAPK14,MAPK3,MTOR,NFE2L2,NFKB1,OPRK1,PPARG,PTPRC,RORC,RXRA,SMAD3,TDP1,TP53,UHRF1,VDR",CHEMBL
BAY1895344,ATRi,"ATM,ATR,CYP2D6,MTOR,PIK3CB,PRKDC",CHEMBL
BI2536,PLK1i,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2A,ACVR2B,ACVRL1,AKT1,AKT2,AKT3,ALK,ARAF,AURKA,AURKB,AXL,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,BRD4,BRSK2,CAMK2A,CAMK2G,CAMKK1,CASK,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CDKL2,CHD4,CHEK1,CHEK2,CIT,CLK2,CLK3,CSF1R,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G3,CSNK2A1,DAPK1,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,DMPK,DSTYK,DYRK2,EGFR,EIF2AK1,EIF2AK4,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHB1,EPHB6,ERBB2,ERBB3,ERBB4,ERCC2,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,FLT3,FLT4,GSK3B,HIPK2,IGF1R,IKBKE,INSR,INSRR,IRAK1,IRAK4,ITK,JAK1,JAK2,JAK3,KDR,KIT,LATS1,LATS2,LCK,LRRK2,LYN,MAP2K1,MAP2K2,MAP2K4,MAP2K7,MAP3K1,MAP3K13,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP3K7,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MAST1,MATK,MCM4,MET,MTOR,MYO3B,NAT10,NEK2,NEK4,NEK6,NEK7,NLK,NTRK1,NTRK2,NTRK3,PAK1,PAK3,PAK4,PBK,PDGFRA,PDGFRB,PDPK1,PIK3C2B,PIK3C2G,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIM1,PIM2,PIM3,PIP4K2B,PIP5K1A,PKMYT1,PLK1,PLK4,PRKAA1,PRKAA2,PRKAG2,PRKAR2A,PRKCD,PRKCG,PRKCI,PRKCQ,PRKCZ,PRKD1,PRKD2,PTK2B,PTK6,RAF1,RAN,RET,RIOK3,RIPK1,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SGK2,SGK3,SMC1A,SMC2,SRC,SRPK2,STK11,STK16,STK3,STK4,STRADA,SYK,TAF1,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TLK1,TLK2,TNIK,TOP2A,TOP2B,TTK,TYK2,TYRO3,WEE1,YES1",CHEMBL
BML284,WNTi,"WNT1,WNT11,WNT16,WNT2,WNT3,WNT4,WNT6",CHEMBL
BMN673_Talazoparib,PARPi,"CYP2D6,PARP1,PARP2,PARP3,PARP4,TNKS,TNKS2",CHEMBL
BMXIN1,BMXi,JAK3,CHEMBL
Bleomycin,Cytostatic_Antibiotic,"ADORA2A,AGTR2,BDKRB2,CYP2D6,EGFR,ELANE,ERBB2,ESR1,ESR2,FLT1,HMGCR,LCK,MAPK1,MAPK14,MAPK3,OPRK1,PTPRC",CHEMBL
Bortezomib,Proteasomei,"ABCB11,ADAM17,APH1A,APH1B,BAX,BCL2,CASP2,CASP3,CASP7,CASP8,CASP9,CTSC,ELANE,EPAS1,FLT3,HIF1A,MME,MMP2,MMP7,NCSTN,NFKB1,NFKB2,PLAT,PRSS1,PSEN1,PSEN2,PSENEN,PSMB3,PSMD11,PSMD9,RELA,TDP1,TP53",CHEMBL
CPI0610,BETi,BRD4,CHEMBL
Carboplatin,Cytostatic_Platinumanalogue,"ADORA2A,AGTR2,APEX1,BDKRB2,CASP7,CBFB,CYP2D6,EGFR,ELANE,ERBB2,ESR1,ESR2,FLT1,HMGCR,KAT2A,KMT2A,LCK,MAPK1,MAPK14,MAPK3,MEN1,OPRK1,POLK,PTPRC,RUNX1,TDP1,USP1,VDR",CHEMBL
Carfilzomib,Proteasomei,"CASP3,CYP2D6,ESR1,PRSS1,PSMB3,PSMD11,PSMD9,TDP1,VHL",CHEMBL
Ceritinib,ALKi,"ABCB1,ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2B,AKT1,AKT2,AKT3,ALK,ARAF,ATR,AURKA,AURKB,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,CAMK2G,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK9,CHD4,CHEK1,CIT,CLK2,CSNK1D,CSNK1E,CSNK1G3,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,EGFR,EIF2AK1,EML4,EPHA2,EPHA4,EPHA5,EPHA7,EPHB6,ERCC2,ETV6,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLT3,GSK3B,IGF1R,IKBKE,INSR,IRAK1,IRAK4,JAK1,JAK2,JAK3,KDR,KIT,LATS1,LCK,LYN,MAP2K1,MAP2K2,MAP3K1,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MCM4,MET,NAT10,NEK2,NEK7,NLK,NPM1,NTRK1,NTRK2,PAK4,PDGFRA,PDGFRB,PEBP1,PIM1,PIM2,PKMYT1,PLK1,PLK4,PRKAA1,PRKAG2,PRKAR2A,PRKCD,PRKCI,PRKCQ,PRKCZ,PRKD2,PTK2B,PTK6,RAN,RET,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SMC1A,SMC2,SRC,STAT3,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TNIK,TOP2A,TOP2B,TTK,TYK2,WEE1,YES1",CHEMBL
Cisplatin,Cytostatic_Platinumanalogue,"ABCB1,ADORA2A,AGTR2,APEX1,AR,BDKRB2,CBFB,CDK2,CDK4,CYP2D6,EGFR,ELANE,ERBB2,ESR1,ESR2,FEN1,FLT1,HMGCR,KAT2A,LCK,MAPK1,MAPK14,MAPK3,NFE2L2,OPRK1,PIN1,POLI,POLK,PTPRC,RECQL,RUNX1,RXRA,TDP1,USP1,VDR",CHEMBL
Crizotinib,METi_ALKi,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2A,ACVR2B,ACVRL1,AKT1,AKT2,AKT3,ALK,ARAF,AURKA,AURKB,AXL,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,BRSK2,CAMK2A,CAMK2G,CAMKK1,CASK,CCNB1,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CDKL2,CHD4,CHEK1,CHEK2,CIT,CLK2,CLK3,CSF1R,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G3,CSNK2A1,DAPK1,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,DMPK,DSTYK,DYRK2,EGFR,EIF2AK1,EIF2AK4,EML4,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHB1,EPHB6,ERBB2,ERBB3,ERBB4,ERCC2,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,FLT3,FLT4,GSK3B,HIPK2,IGF1R,IKBKE,INPPL1,INSR,INSRR,IRAK1,IRAK4,ITK,JAK1,JAK2,JAK3,KDR,KIT,LATS1,LATS2,LCK,LRRK2,LYN,MAP2K1,MAP2K2,MAP2K4,MAP2K7,MAP3K1,MAP3K13,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP3K7,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MAST1,MATK,MCM4,MET,MLKL,MST1,MTOR,MYO3B,NAT10,NEK2,NEK4,NEK6,NEK7,NEK8,NLK,NPM1,NTRK1,NTRK2,NTRK3,NUDT1,PAK1,PAK3,PAK4,PDGFRA,PDGFRB,PDPK1,PEBP1,PIK3C2B,PIK3C2G,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIM1,PIM2,PIM3,PIP4K2B,PIP5K1A,PKMYT1,PLK1,PLK4,PRKAA1,PRKAA2,PRKAG2,PRKAR2A,PRKCD,PRKCI,PRKCQ,PRKD1,PRKD2,PTK2B,PTK6,RAF1,RAN,RET,RIOK3,RIPK1,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SGK3,SMC1A,SMC2,SRC,SRPK2,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TLK1,TLK2,TNIK,TOP2A,TOP2B,TTK,TYK2,TYRO3,WEE1,YES1",CHEMBL
Dacarbazine,Cytostatic_Intercalator,"ABCB11,ADORA2A,AGTR2,BDKRB2,CYP2D6,EGFR,ELANE,ERBB2,ESR1,ESR2,FLT1,HMGCR,IDH1,LCK,LMNA,MAPK1,MAPK14,MAPK3,OPRK1,PAX8,PTPRC,TSHR",CHEMBL
Doxorubicin,TOP2i,"ABCB1,ABCB11,ABCG2,ADORA2A,AGTR2,APAF1,APEX1,AR,ATAD5,AURKA,BCL2,BCL2L1,BDKRB2,BLM,BRCA1,CYP2D6,DHFR,EGFR,ELANE,EPAS1,ERBB2,ERG,ESR1,ESR2,FANCD2,FEN1,FLT1,HDAC1,HDAC2,HDAC7,HDAC8,HIF1A,HMGCR,HSP90AA1,HSP90AB1,IDH1,KAT2A,KDR,KEAP1,KMT2A,LCK,MAPK1,MAPK14,MAPK3,MBNL1,MEN1,MMP2,NFE2L2,NFKB1,OPRK1,PAX8,PDGFRB,PIK3CA,PIK3R1,PLK1,POLB,POLH,POLI,POLK,PPARG,PPM1D,PRSS1,PTPRC,RAPGEF3,RECQL,RORC,RXRA,SMAD3,SNCA,STAT6,TDP1,TERT,TNF,TOP1,TOP2A,TOP2B,TOP3A,TP53,TUBA1A,TUBA4A,TUBB4B,USP1,VDR,WRN",CHEMBL
Duvelisib,PI3Ki,"PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1",CHEMBL
Erlotinib,EGFRi,"ABCB1,ABCB11,ABCG2,ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2A,ACVR2B,ACVRL1,AKT1,AKT2,AKT3,ALK,ARAF,ATR,AURKA,AURKB,AXL,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,BRSK2,CAMK2A,CAMK2G,CAMKK1,CASK,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CDKL2,CHD4,CHEK1,CHEK2,CIT,CLK2,CLK3,CSF1R,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G3,CSNK2A1,DAPK1,DCK,DDR1,DDR2,DDX3X,DDX6,DMPK,DSTYK,DYRK2,EGFR,EIF2AK1,EIF2AK4,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHB1,EPHB6,ERBB2,ERBB3,ERBB4,ERCC2,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,FLT3,FLT4,GSK3B,HDAC1,HDAC2,HDAC7,HDAC8,HIPK2,IGF1R,IKBKE,INSR,INSRR,IRAK1,IRAK4,ITK,JAK1,JAK2,JAK3,KDR,KIT,LATS1,LATS2,LCK,LMNA,LRRK2,LYN,MAP2K1,MAP2K2,MAP2K4,MAP2K7,MAP3K1,MAP3K13,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP3K7,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MAST1,MATK,MCM4,MET,MTOR,MYO3B,MYT1,NAT10,NEK2,NEK4,NEK6,NEK7,NLK,NTRK1,NTRK2,NTRK3,PAK1,PAK3,PAK4,PBK,PDGFRA,PDGFRB,PDPK1,PEBP1,PIK3C2B,PIK3C2G,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIM1,PIM2,PIM3,PIP4K2B,PIP5K1A,PKMYT1,PLK1,PLK4,PRKAA1,PRKAA2,PRKAG2,PRKAR2A,PRKCD,PRKCG,PRKCI,PRKCQ,PRKCZ,PRKD1,PRKD2,PTK2B,PTK6,RAF1,RAN,RET,RIOK3,RIPK1,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SGK2,SGK3,SMC1A,SMC2,SRC,SRPK2,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TDP1,TGFBR1,TGFBR2,TLK1,TLK2,TNIK,TOP2A,TOP2B,TTK,TYK2,TYRO3,VRK1,WEE1,YES1",CHEMBL
Etoposide,TOP2i,"ABCB1,ABCB11,ABCG2,ADORA2A,AGTR2,ATM,BDKRB2,CASP3,CHEK1,CYP2D6,EGFR,ELANE,ERBB2,ESR1,ESR2,FLT1,HDAC1,HMGCR,LCK,MAPK1,MAPK14,MAPK3,MTOR,NCOA1,NCOA3,NFE2L2,OPRK1,POLI,PTPRC,TDP1,TOP1,TOP2A,TOP2B,TUBA1A",CHEMBL
Everolimus,mTORi,"ABCB11,ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2B,AKT1,AKT2,AKT3,ARAF,AURKA,AURKB,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,CAMK2G,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK9,CHD4,CHEK1,CIT,CLK2,CLK3,CSNK1D,CSNK1E,CSNK1G3,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,EGFR,EIF2AK1,EPHA2,EPHA4,EPHA5,EPHA7,EPHB6,ERCC2,FES,FGFR1,FKBP1A,FLT3,GSK3B,IGF1R,IKBKE,INSR,IRAK1,IRAK4,JAK1,LATS1,LCK,LYN,MAP2K1,MAP2K2,MAP3K1,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MARK3,MARK4,MCM4,MET,MLST8,MTOR,NAT10,NEK2,NEK7,NLK,NTRK1,PAK4,PDGFRB,PEBP1,PIM1,PKMYT1,PLK1,PLK4,PRKAA1,PRKAG2,PRKAR2A,PRKCD,PRKCI,PRKCQ,PRKD2,PTK2B,PTK6,RAN,RET,ROCK1,ROCK2,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,RPTOR,SMC1A,SMC2,SRC,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TDP1,TGFBR1,TGFBR2,TNIK,TOP2A,TOP2B,TTK,TYK2,WEE1,YES1",CHEMBL
